row,col,generation,x,y,z,detector_evaluable,evaluation_state,gt_sector,distance_to_reference,signed_normal_offset,review,confidence,drift_score,switch_score,chosen_offset,geom_offset
10,7,4,179.552429,206.287216,183.695724,1,reviewed,1,4.5476736,4.3427723,1,0.78482366,2.5,1,2.5,-0.26001501
10,8,4,188.156357,210.853073,181.372772,1,reviewed,1,5.327317,5.3023806,1,0.83294058,6.5,1,-6.5,1.3364754
10,9,4,196.206253,215.949615,178.130432,1,reviewed,1,5.3332763,5.2548925,1,0.74560422,7,1,-7,2.0351663
10,10,4,204.040085,221.098373,174.576538,1,reviewed,1,4.7798191,4.6771969,1,0.80992037,6.5,1,6.5,1.0417275
10,11,5,212.176102,226.051117,171.456360,0,not_evaluated,1,4.525482,4.5171117,,,,,,
11,2,5,139.838806,185.879486,208.012772,0,not_evaluated,1,10.270548,-9.4451863,,,,,,
11,3,5,146.444885,191.973206,203.686981,0,not_evaluated,1,8.9508882,7.8011093,,,,,,
11,4,5,153.111465,198.513641,199.681137,0,not_evaluated,1,6.7081422,6.682295,,,,,,
11,5,5,160.609497,204.060364,195.462189,0,not_evaluated,1,5.1248217,4.89174,,,,,,
11,6,5,168.575195,209.230576,192.132446,0,not_evaluated,1,4.424332,4.4015656,,,,,,
11,7,5,176.951508,214.025665,189.447510,0,not_evaluated,1,4.9492139,4.9124025,,,,,,
11,8,5,185.142868,218.969788,186.516205,0,not_evaluated,1,4.8272822,4.7007738,,,,,,
11,9,5,193.498672,223.769592,183.763550,0,not_evaluated,1,5.2838357,5.1560637,,,,,,
11,10,5,201.564209,228.796143,180.507187,0,not_evaluated,1,4.8716029,4.8647447,,,,,,
11,11,5,209.863159,233.594910,177.623215,0,not_evaluated,1,5.1787793,4.9771732,,,,,,
