component_id,raw_rank,raw_score,overlap,background_distance_px,touches_render_background,half_score,half_rank,full_score,full_rank,hard_020_rank,calibration_group
911,159,0.138208,0.000000,620.311,False,0.138208,111,0.138208,109,113,unlabelled
453,160,0.138158,0.000000,512.978,False,0.138158,112,0.138158,110,114,unlabelled
986,161,0.138139,0.000000,174.889,False,0.138139,114,0.138139,111,115,unlabelled
422,162,0.138111,0.000000,4.000,False,0.138111,115,0.138111,112,116,unlabelled
535,163,0.138098,0.000000,1126.159,False,0.138098,116,0.138098,113,117,unlabelled
664,164,0.138040,0.000000,963.229,False,0.138040,117,0.138040,114,118,unlabelled
851,165,0.137940,0.000000,769.000,False,0.137940,118,0.137940,115,119,unlabelled
265,166,0.137921,0.000000,151.321,False,0.137921,119,0.137921,116,120,unlabelled
677,167,0.137685,0.000000,988.071,False,0.137685,120,0.137685,117,121,unlabelled
261,168,0.137529,0.000000,753.011,False,0.137529,121,0.137529,118,122,unlabelled
640,169,0.137504,0.828446,0.000,True,0.080547,197,0.023589,194,189,unlabelled
585,170,0.137369,0.000000,1154.041,False,0.137369,122,0.137369,119,123,unlabelled
64,171,0.137254,0.441176,0.000,True,0.106977,164,0.076701,161,190,unlabelled
504,172,0.137243,0.682893,0.000,True,0.090382,189,0.043521,179,191,unlabelled
876,173,0.137087,0.405405,0.000,True,0.109299,162,0.081511,156,192,unlabelled
1129,174,0.137085,0.000000,62.769,False,0.137085,123,0.137085,120,124,unlabelled
558,175,0.136581,0.000000,1178.042,False,0.136581,124,0.136581,121,125,unlabelled
1045,176,0.136521,0.000000,19.925,False,0.136521,125,0.136521,122,126,unlabelled
228,177,0.136508,0.000000,40.000,False,0.136508,126,0.136508,123,127,unlabelled
279,178,0.136426,0.000000,435.753,False,0.136426,127,0.136426,124,128,unlabelled
912,179,0.136363,0.000000,55.973,False,0.136363,128,0.136363,125,129,unlabelled
894,180,0.136310,0.000000,105.309,False,0.136310,129,0.136310,126,130,unlabelled
927,181,0.135975,0.432967,0.000,True,0.106539,165,0.077102,160,193,unlabelled
893,182,0.135886,0.000000,766.001,False,0.135886,131,0.135886,127,131,unlabelled
354,183,0.135771,0.000000,1024.769,False,0.135771,132,0.135771,128,132,unlabelled
866,184,0.135649,0.087838,0.000,True,0.129691,144,0.123734,143,133,unlabelled
871,185,0.135154,0.258537,0.000,True,0.117683,154,0.100212,149,194,unlabelled
879,186,0.135125,0.000000,595.063,False,0.135125,133,0.135125,129,134,unlabelled
182,187,0.135100,0.786070,0.000,True,0.082001,195,0.028902,191,195,unlabelled
938,188,0.135087,0.000000,283.000,False,0.135087,134,0.135087,130,135,unlabelled
395,189,0.134945,0.000000,1091.370,False,0.134945,135,0.134945,131,136,unlabelled
522,190,0.134830,0.353383,0.000,True,0.111007,157,0.087183,154,196,unlabelled
372,191,0.134729,0.000000,9.000,False,0.134729,136,0.134729,132,137,unlabelled
554,192,0.134677,0.000000,325.994,False,0.134677,137,0.134677,133,138,unlabelled
124,193,0.133966,0.718693,0.000,True,0.085826,194,0.037686,184,197,unlabelled
362,194,0.133847,0.000000,572.071,False,0.133847,138,0.133847,135,139,unlabelled
944,195,0.133685,0.000000,565.305,False,0.133685,139,0.133685,136,140,unlabelled
686,196,0.133645,0.000000,976.664,False,0.133645,140,0.133645,137,141,unlabelled
91,197,0.133622,0.520243,0.000,True,0.098864,174,0.064106,167,198,unlabelled
515,198,0.133606,0.535714,0.000,True,0.097819,175,0.062031,169,199,unlabelled
781,199,0.133515,0.503830,0.000,True,0.099881,172,0.066246,166,200,unlabelled
868,200,0.133379,0.000000,481.664,False,0.133379,142,0.133379,139,142,unlabelled
